Название карточки;Роторы (1);Количество роторов (1);Комплект суппортов в сборе (2);Количество 2;Шланги (3);Количество (3);Переходной комплект (4);Количество (4);Комплекто колодок (5);Количество (5);Суппорты ручника (6);Количество (6);Выходное изделие;Количество изделий
Изготовление TOYOTA Land Cruiser Prado 150 Series (2009-2024) ICOOH D42 (355*28mm, Фиксированный, Насечки) цвет: Черный, поршней: 4, задняя ось, D42-781-G-03-16-01-02-08-1B-00-02;DSC035528S;1;KIT-D42G;1;H45X;1;CK-D42-781-355;1;pds_ap5200C100;1;;1;D42-781-G-03-16-01-02-08-1B-00-02;1
Изготовление TOYOTA Land Cruiser Prado 150 Series (2009-2024) ICOOH D42 (355*28mm, Фиксированный, Насечки) цвет: Черный, поршней: 4, задняя ось, D42-781-B-03-16-01-02-08-1B-00-02;DSC035528S;1;KIT-D42B;1;H45X;1;CK-D42-781-355;1;pds_ap5200C100;1;;1;D42-781-B-03-16-01-02-08-1B-00-02;1
Изготовление TOYOTA Land Cruiser Prado 150 Series (2009-2024) ICOOH D42 (355*28mm, Фиксированный, Насечки) цвет: Красный, поршней: 4, задняя ось, D42-781-R-03-16-01-02-08-1B-00-02;DSC035528S;1;KIT-D42R;1;H45X;1;CK-D42-781-355;1;pds_ap5200C100;1;;1;D42-781-R-03-16-01-02-08-1B-00-02;1
Изготовление Kia Carnival 4 поколение (2020-2024) ICOOH DT48 (ротор 355 мм) цвет: Черный, поршней: 4, задняя ось, DT48-1659-B-03-16-01-02-09-1A-02-02;DSC035528S;1;KIT-DT48B;1;H55V;1;CK-DT48-1659-355;1;pds_ap5200C100;1;;1;DT48-1659-B-03-16-01-02-09-1A-02-02;1
Изготовление Kia Carnival 4 поколение (2020-2024) ICOOH DT48 (ротор 355 мм) цвет: Красный, поршней: 4, задняя ось, DT48-1659-R-03-16-01-02-09-1A-02-02;DSC035528S;1;KIT-DT48R;1;H55V;1;CK-DT48-1659-355;1;pds_ap5200C100;1;;1;DT48-1659-R-03-16-01-02-09-1A-02-02;1
Изготовление Kia Carnival 4 поколение (2020-2024) ICOOH DT48 (ротор 355 мм) цвет: Серый, поршней: 4, задняя ось, DT48-1659-G-03-16-01-02-09-1A-02-02;DSC035528S;1;KIT-DT48G;1;H55V;1;CK-DT48-1659-355;1;pds_ap5200C100;1;;1;DT48-1659-G-03-16-01-02-09-1A-02-02;1
Изготовление Tank 500 1 поколение (2021-2024) ICOOH DT48, (380*28mm,Фиксированный,Комбинированный), поршней: 4, задняя ось, цвет: Черный, DT48-2745-B-03-0C-03-02-0A-1B-00-02;DSC038028S;1;KIT-DT48B;1;H55X;1;CK-DT48-2745-380;1;pds_ap5200C100;1;;1;DT48-2745-B-03-0C-03-02-0A-1B-00-02;1
Изготовление Tank 500 (2021-2024) ICOOH DT48, (380*28mm,Фиксированный,Насечки) поршней: 4, задняя ось, Серый, DT48-2745-G-03-0C-01-02-09-1B-02-02;DSC038028S;1;KIT-DT48G;1;H55V;1;CK-DT48-2745-380;1;pds_ap5200C100;1;;1;DT48-2745-G-03-0C-01-02-09-1B-02-02;1
Изготовление Tank 500 (2021-2024) ICOOH DT48, (380*28mm,Фиксированный,Насечки) поршней: 4, задняя ось, Красный, DT48-2745-R-03-0C-01-02-09-1B-02-02;DSC038028S;1;KIT-DT48R;1;H55V;1;CK-DT48-2745-380;1;pds_ap5200C100;1;;1;DT48-2745-R-03-0C-01-02-09-1B-02-02;1
Изготовление TOYOTA ALPHARD 3 поколение (2015-2023) ICOOH DT48, (355*28mm,Фиксированный,Насечки), поршней: 4, задняя ось, цвет: Серый, DT48-2790-G-03-16-01-02-08-1B-00-02;DSC035528S;1;KIT-DT48G;1;H45X;1;CK-DT48-2790-355;1;pds_ap5200C100;1;;1;DT48-2790-G-03-16-01-02-08-1B-00-02;1
Изготовление TOYOTA ALPHARD 3 поколение (2015-2023) ICOOH DT48, (355*28mm,Фиксированный,Насечки), поршней: 4, задняя ось, цвет: Красный, DT48-2790-R-03-16-01-02-08-1B-00-02;DSC035528S;1;KIT-DT48R;1;H45X;1;CK-DT48-2790-355;1;pds_ap5200C101;1;;1;DT48-2790-R-03-16-01-02-08-1B-00-02;1
Изготовление TOYOTA ALPHARD 3 поколение (2015-2023) ICOOH DT48, (355*28mm,Фиксированный,Насечки), поршней: 4, задняя ось, цвет: Черный, DT48-2790-B-03-16-01-02-08-1B-00-02;DSC035528S;1;KIT-DT48B;1;H45X;1;CK-DT48-2790-355;1;pds_ap5200C100;1;;1;DT48-2790-B-03-16-01-02-08-1B-00-02;1
